Slots = 19	at shift 18	Iterations 45
Exam	Slot	Clashes
1		2		2
2		10		0
3		1		3
4		0		1
5		17		0
6		6		0
7		14		2
8		13		2
9		3		1
10		2		1
11		2		1
12		3		0
13		4		0
14		3		1
15		18		0
16		14		1
17		7		0
18		16		1
19		18		0
20		0		0
21		16		0
22		1		0
23		7		1
24		12		1
25		5		0
26		3		0
27		10		0
28		2		0
29		8		0
30		8		1
31		8		0
32		7		0
33		7		1
34		7		0
35		9		2
36		18		0
37		5		1
38		5		1
39		5		2
40		5		0
41		5		0
42		10		0
43		5		3
44		4		1
45		4		1
46		2		0
47		3		2
48		3		0
49		15		0
50		11		1
51		9		1
52		6		0
53		7		2
54		16		1
55		15		0
56		0		0
57		10		0
58		15		0
59		1		1
60		4		0
61		6		0
62		9		1
63		8		1
64		18		0
65		9		2
66		8		0
67		13		3
68		17		0
69		0		1
70		6		0
71		1		2
72		15		0
73		1		1
74		9		1
75		9		1
76		1		1
77		10		2
78		14		1
79		14		1
80		4		0
81		15		0
82		18		0
83		5		1
84		8		0
85		10		1
86		8		0
87		4		0
88		11		0
89		1		2
90		8		0
91		13		0
92		4		0
93		14		0
94		1		2
95		16		2
96		1		0
97		16		0
98		4		0
99		7		0
100		12		1
101		12		1
102		13		2
103		13		3
104		1		1
105		11		1
106		10		1
107		9		1
108		11		0
109		9		1
110		11		0
111		11		0
112		16		1
113		11		3
114		13		3
115		13		1
116		14		2
117		12		1
118		11		2
119		11		2
120		10		0
121		4		0
122		4		0
123		4		0
124		18		0
125		9		2
126		8		0
127		14		1
128		10		0
129		1		1
130		7		0
131		7		0
132		3		0
133		3		0
134		12		1
135		12		1
136		0		0
137		6		0
138		16		1
139		0		1
140		11		3
141		14		3
142		14		1
143		18		0
144		15		0
145		18		0
146		15		0
147		1		1
148		16		3
149		15		1
150		16		0
151		9		2
152		18		0
153		16		1
154		3		0
155		17		0
156		16		4
157		14		0
158		6		0
159		12		0
160		17		0
161		6		0
162		11		2
163		6		0
164		17		0
165		8		0
166		12		0
167		5		0
168		4		0
169		11		4
170		5		0
171		15		1
172		1		3
173		0		1
174		4		0
175		4		0
176		0		2
177		18		0
178		18		0
179		10		0
180		10		0
181		0		0
Slots = 19	at shift 18	Iterations 45
Slots = 19	at shift 18	Iterations 45
Exam	Slot	Clashes
1		2		2
2		10		0
3		1		3
4		0		1
5		17		0
6		6		0
7		14		2
8		13		2
9		3		1
10		2		1
11		2		1
12		3		0
13		4		0
14		3		1
15		18		0
16		14		1
17		7		0
18		16		1
19		18		0
20		0		0
21		16		0
22		1		0
23		7		1
24		12		1
25		5		0
26		3		0
27		10		0
28		2		0
29		8		0
30		8		1
31		8		0
32		7		0
33		7		1
34		7		0
35		9		2
36		18		0
37		5		1
38		5		1
39		5		2
40		5		0
41		5		0
42		10		0
43		5		3
44		4		1
45		4		1
46		2		0
47		3		2
48		3		0
49		15		0
50		11		1
51		9		1
52		6		0
53		7		2
54		16		1
55		15		0
56		0		0
57		10		0
58		15		0
59		1		1
60		4		0
61		6		0
62		9		1
63		8		1
64		18		0
65		9		2
66		8		0
67		13		3
68		17		0
69		0		1
70		6		0
71		1		2
72		15		0
73		1		1
74		9		1
75		9		1
76		1		1
77		10		2
78		14		1
79		14		1
80		4		0
81		15		0
82		18		0
83		5		1
84		8		0
85		10		1
86		8		0
87		4		0
88		11		0
89		1		2
90		8		0
91		13		0
92		4		0
93		14		0
94		1		2
95		16		2
96		1		0
97		16		0
98		4		0
99		7		0
100		12		1
101		12		1
102		13		2
103		13		3
104		1		1
105		11		1
106		10		1
107		9		1
108		11		0
109		9		1
110		11		0
111		11		0
112		16		1
113		11		3
114		13		3
115		13		1
116		14		2
117		12		1
118		11		2
119		11		2
120		10		0
121		4		0
122		4		0
123		4		0
124		18		0
125		9		2
126		8		0
127		14		1
128		10		0
129		1		1
130		7		0
131		7		0
132		3		0
133		3		0
134		12		1
135		12		1
136		0		0
137		6		0
138		16		1
139		0		1
140		11		3
141		14		3
142		14		1
143		18		0
144		15		0
145		18		0
146		15		0
147		1		1
148		16		3
149		15		1
150		16		0
151		9		2
152		18		0
153		16		1
154		3		0
155		17		0
156		16		4
157		14		0
158		6		0
159		12		0
160		17		0
161		6		0
162		11		2
163		6		0
164		17		0
165		8		0
166		12		0
167		5		0
168		4		0
169		11		4
170		5		0
171		15		1
172		1		3
173		0		1
174		4		0
175		4		0
176		0		2
177		18		0
178		18		0
179		10		0
180		10		0
181		0		0
